Year,SP Closing Value,CPI,SP Annual Inflation Adjusted Return
1975,90.190002,55.5,0.282560651
1976,107.459999,58.2,0.177981417
1977,95.099998,62.1,-0.132733123
1978,96.110001,67.7,-0.024422375
1979,107.940002,76.7,0.042834146
1980,135.759995,86.3,0.17508995
1981,122.550003,94,-0.128200329
1982,140.639999,97.6,0.169404912
1983,164.929993,101.3,0.179035541
1984,167.240005,105.3,0.020476692
1985,211.279999,109.3,0.2673143
1986,242.169998,110.5,0.172537202
1987,247.080002,115.4,0.0062343
1988,277.720001,120.5,0.113791747
1989,353.399994,126.1,0.255035171
1990,330.220001,133.8,-0.08810157
1991,417.089996,137.9,0.264527457
1992,435.709991,141.9,0.045642851
1993,466.450012,145.8,0.070738491
1994,459.269989,149.7,-0.013518214
1995,615.929993,153.5,0.339622661
1996,740.73999,158.6,0.188607758
1997,970.429993,161.3,0.310499647
1998,1229.22998,163.9,0.264486189
1999,1469.25,168.3,0.178330117
2000,1320.280029,174,-0.120687531
2001,1148.079956,176.7,-0.131759332
2002,879.820007,180.9,-0.238749282
2003,1111.920044,184.3,0.261583486
2004,1211.920044,190.3,0.072810204
2005,1248.290039,196.8,0.013336083
2006,1418.300049,201.8,0.127831759
2007,1468.359985,210.036,0.012539447
2008,903.25,210.228,-0.369932093
2009,1115.099976,215.949,0.234232238
2010,1257.640015,219.179,0.132942909
2011,1257.599976,225.672,-0.00962996
2012,1426.189941,229.601,0.137541956
2013,1848.359985,233.049,0.302504746
2014,2058.899902,234.812,0.126791742
2015,2043.939941,236.525,0.006075618
2016,2238.830078,241.432,0.095612035
2017,2673.610107,246.524,0.19194399
2018,2506.850098,251.233,-0.06222575
2019,3230.78,256.974,0.283841266
2020,3756.07,260.474,0.16870127
2021,4766.18,278.802,0.201669938
2022,3839.5,297.5605,-0.232795291
